"instant";"season";"yr";"mnth";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"leaflets";"price reduction";"outlier";"cnt"
154;2.0;0;6;0;5;1;1;24.8;0.587133;53.12505;0.253121;991;0;"false";5312
685;4.0;1;11;0;4;1;2;12.8667;0.324492;93.06255;0.15298699999999998;601;0;"false";5445
368;1.0;1;1;0;2;1;1;6.0;0.126275;66.1875;0.365671;549;0;"false";2236
472;2.0;1;4;1;1;0;1;26.5667;0.614925;84.25005;0.284829;740;0;"false";6370
257;3.0;0;9;0;3;1;1;26.9333;0.6269;104.56245;0.1673;761;0;"false";4785
643;4.0;1;10;0;4;1;2;26.3;0.607975;108.43755;0.117546;479;0;"false";7328
129;2.0;0;5;0;1;1;1;21.3;0.525246;88.3125;0.17600000000000002;838;0;"false";4362
175;3.0;0;6;0;5;1;1;28.9667;0.656583;85.99995;0.222025;779;0;"false";4991
590;3.0;1;8;0;0;0;1;28.0333;0.644579;79.56255;0.122512;513;0;"false";6544
221;3.0;0;8;0;2;1;1;31.0;0.724121;85.56255;0.151121;464;0;"false";4602
417;1.0;1;2;0;2;1;1;11.513;0.295113;89.1522;0.205717;587;0;"false";3777
565;3.0;1;7;0;3;1;1;31.7333;0.745583;86.56245;0.137442;977;0;"false";5713
135;2.0;0;5;0;0;0;2;22.5;0.536;130.06245;0.152979;1024;0;"false";4553
425;1.0;1;2;0;3;1;2;13.7739;0.34847;120.71745;0.179117;629;0;"false";1834
227;3.0;0;8;0;1;1;1;26.6333;0.616167;106.81245;0.208954;815;0;"false";4338
502;2.0;1;5;0;3;1;1;25.4667;0.595975;104.68755;0.122512;588;0;"false";7424
378;1.0;1;1;0;5;1;1;10.9667;0.249362;76.125;0.378108;911;0;"false";3214
144;2.0;0;5;0;2;1;2;26.4;0.604813;111.12495;0.207092;829;0;"false";4492
481;2.0;1;4;0;3;1;1;19.0667;0.470317;64.18755;0.11879200000000001;636;0;"false";6196
578;3.0;1;7;0;2;1;1;28.5333;0.662896;105.62505;0.165425;864;0;"false";7216
564;3.0;1;7;0;2;1;1;32.7333;0.755683;75.87495;0.114429;809;0;"false";6786
699;4.0;1;11;0;4;1;1;11.2348;0.29842199999999997;83.3478;0.115522;509;0;"false";5323
637;4.0;1;9;0;5;1;2;24.7667;0.585863;103.5;0.164179;658;0;"false";7415
261;3.0;0;9;0;0;0;1;20.3;0.490537;104.25;0.178483;750;1;"false";4274
626;3.0;1;9;0;1;1;2;23.2333;0.55305;110.18745;0.15174200000000002;848;0;"false";6869
681;4.0;1;11;0;0;0;1;16.8333;0.421713;98.87505;0.1275;783;0;"false";6852
397;1.0;1;2;0;3;1;1;18.7667;0.466538;76.18755;0.189067;787;0;"false";4579
354;4.0;0;12;0;2;1;2;15.4333;0.396454;89.31255;0.06157080000000001;867;1;"false";3750
304;4.0;0;10;0;1;1;1;13.6;0.356063;105.49995;0.10635;720;0;"false";3669
119;2.0;0;4;0;5;1;1;20.4;0.497463;68.56245;0.240063;911;1;"false";4595
441;1.0;1;3;0;5;1;2;17.4333;0.436229;126.31245;0.113192;585;0;"false";4378
163;2.0;0;6;0;0;0;1;27.7;0.643325;112.18755;0.16356700000000002;495;0;"false";4460
367;1.0;1;1;1;1;0;1;10.9217;0.252304;57.1956;0.329665;989;0;"false";1951
529;2.0;1;6;0;2;1;2;26.1333;0.597875;124.99995;0.21454600000000001;777;0;"false";4972
321;4.0;0;11;0;4;1;2;13.6667;0.323221;86.37495;0.30536199999999997;532;0;"false";3053
702;4.0;1;12;0;0;0;2;13.9;0.35920799999999997;123.49995;0.12437899999999999;702;0;"false";4649
303;4.0;0;10;0;0;0;1;12.7667;0.321329;93.5625;0.176617;787;0;"false";3331
514;2.0;1;5;1;1;0;1;28.5;0.6793;101.4375;0.196521;506;0;"false";6043
501;2.0;1;5;0;2;1;2;24.4667;0.576404;119.18745;0.147392;779;0;"false";5115
401;1.0;1;2;0;0;0;2;10.6333;0.264521;103.18755;0.175996;769;0;"false";2947
277;4.0;0;10;0;2;1;1;19.3667;0.472858;106.5;0.205854;819;0;"false";4456
682;4.0;1;11;1;1;0;1;19.4;0.475383;111.25005;0.173517;793;0;"false";6269
206;3.0;0;7;0;1;1;1;29.7333;0.720958;113.56245;0.09080830000000001;474;0;"false";3840
190;3.0;0;7;0;6;0;1;29.3333;0.664158;91.37505;0.16791199999999998;755;0;"false";5336
202;3.0;0;7;0;4;1;2;32.6;0.826371;103.6875;0.222021;788;0;"false";3784
100;2.0;0;4;0;0;0;2;17.0667;0.426737;128.625;0.146767;661;0;"false";2895
312;4.0;0;11;0;-1;1;1;16.3333;0.412246;108.25005;0.0690375;686;0;"false";4205
554;3.0;1;7;0;6;0;1;34.4667;0.804913;73.81245;0.163554;834;0;"false";4840
661;4.0;1;10;0;1;1;1;19.5;0.482942;85.24995;0.08148330000000001;599;0;"false";7058
162;2.0;0;6;0;6;0;1;29.0;0.678038;98.18745;0.15485;841;0;"false";4966
316;4.0;0;11;0;-1;0;1;14.2667;0.357942;82.93755;0.212062;598;0;"false";4067
353;4.0;0;12;0;1;1;1;11.0667;0.280933;95.625;0.172896;703;0;"false";3403
599;3.0;1;8;0;2;1;1;25.9667;0.601025;101.0625;0.07277080000000001;964;0;"false";7006
447;2.0;1;3;0;4;1;1;22.1667;0.531567;124.6875;0.11756199999999999;750;0;"false";6871
512;2.0;1;5;0;6;0;1;27.7;0.642696;109.875;0.198992;869;0;"false";6536
420;1.0;1;2;0;5;1;2;16.3;0.41097100000000003;110.625;0.237567;944;0;"false";3487
248;3.0;0;9;1;1;0;2;26.9333;0.625646;118.56255;0.212696;887;1;"false";3351
648;4.0;1;10;0;2;1;2;17.8667;0.438112;114.25005;0.1903;611;0;"false";6392
313;4.0;0;11;0;-1;1;1;16.0;0.40907899999999997;113.74995;0.06219580000000001;864;0;"false";4109
88;2.0;0;3;0;2;1;1;12.1;0.292908;47.12505;0.226996;829;0;"false";2425
83;2.0;0;3;0;4;1;2;11.4;0.270833;120.87495;0.24378699999999998;861;0;"false";1865
305;4.0;0;11;0;2;1;1;16.0333;0.397088;102.5625;0.135571;675;0;"false";4068
465;2.0;1;4;0;1;1;1;19.5667;0.476638;47.625;0.358196;585;1;"false";5585
488;2.0;1;5;0;3;1;1;22.5667;0.537896;119.56245;0.138058;813;0;"false";6169
712;4.0;1;12;0;3;1;2;11.9;0.297338;80.74995;0.162937;802;1;"false";5319
541;3.0;1;6;0;0;0;1;29.7333;0.674254;71.87505;0.145525;731;0;"false";6891
510;2.4966740576496673;1;5;0;4;1;1;26.2;0.6067;107.50005;0.172896;706;0;"false";6770
157;2.0;0;6;0;1;1;1;27.1333;0.621858;90.0;0.121896;912;0;"false";4548
373;1.0;1;1;0;0;0;1;13.5;0.340258;69.75;0.19154200000000002;969;0;"false";3425
161;2.0;0;6;0;5;1;1;30.2;0.703292;90.75;0.14055399999999998;840;0;"false";4586
314;4.0;0;11;0;-1;1;2;15.2;0.373721;121.99995;0.189067;684;1;"false";2933
179;3.0;0;6;0;2;1;1;29.7667;0.692558;95.12505;0.144283;997;0;"false";4648
716;2.4966740576496673;1;12;0;0;0;2;14.5;0.369938;125.8125;0.100742;491;0;"false";3786
398;1.0;1;2;0;4;1;2;15.9667;0.398971;93.76335789473686;0.187187;547;0;"false";3761
229;3.0;0;8;0;3;1;1;28.9333;0.666671;86.31255;0.14366700000000002;905;0;"false";4694
439;1.0;1;3;0;3;1;1;22.9;0.548617;76.06245;0.11506199999999998;887;0;"false";6312
103;2.0;0;4;0;3;1;2;16.5;0.417283;122.87505;0.25061700000000003;694;1;"false";2162
545;3.0;1;6;0;4;1;1;29.9667;0.675512;63.375;0.17165;772;0;"false";6879
315;4.0;0;11;1;-1;0;1;12.9667;0.306817;66.9375;0.314675;617;0;"false";3368
694;4.0;1;11;0;6;0;1;11.1333;0.24874200000000002;93.76335789473686;0.376871;496;0;"false";2277
540;3.0;1;6;0;6;0;1;29.2667;0.652792;80.18745;0.179721;978;1;"false";7458
490;2.0;1;5;0;5;1;1;25.1;0.590917;110.31255;0.162938;476;0;"false";6296
588;3.0;1;8;0;5;1;2;28.6333;0.667942;107.37495;0.238813;733;0;"false";5786
656;4.0;1;10;0;3;1;1;18.2333;0.450108;93.76335789473686;0.101371;492;1;"false";7461
92;2.0;0;4;0;6;0;2;12.6;0.315637;98.0625;0.19714600000000002;672;0;"false";2252
496;2.0;1;5;0;4;1;1;20.2333;0.49178299999999997;82.81245;0.31406300000000004;550;0;"false";6572
362;1.0;0;12;0;3;1;1;11.9652;0.279974;75.58695;0.29396100000000003;840;0;"false";2302
254;3.0;0;9;0;0;0;1;26.1333;0.609229;107.0625;0.11505399999999999;1005;0;"false";5046
421;1.0;1;2;0;6;0;1;11.6333;0.255675;59.37495;0.421642;669;0;"false";2732
296;4.0;0;10;0;0;0;1;16.8667;0.422333;111.1875;0.0995125;607;0;"false";4381
639;4.0;1;9;0;0;0;1;21.0667;0.517663;87.49995;0.134958;952;0;"false";6889
146;2.0;0;5;0;4;1;1;28.3333;0.654688;101.625;0.19964200000000001;720;0;"false";4677
197;3.0;0;7;0;6;0;1;27.4667;0.638263;87.75;-1.0;731;0;"false";5923
619;3.0;1;9;0;1;1;1;23.3333;0.565654;75.5625;0.258713;748;0;"false";7525
252;3.0;0;9;0;5;1;2;26.0;0.578946;134.68755;0.12437899999999999;1002;0;"false";3544
241;3.0;0;8;0;1;1;1;25.4667;0.607958;83.18745;0.159825;587;0;"false";4634
357;1.0;0;12;0;5;1;1;14.9333;0.377513;102.9375;0.274246;762;0;"false";2209
185;3.0;0;7;1;1;0;2;29.0667;0.665417;95.68755;0.08147919999999999;749;0;"false";6043
471;2.0;1;4;0;0;0;1;24.2667;0.573875;76.18755;0.225129;554;0;"false";7132
698;4.0;1;11;0;3;1;1;11.8667;0.28976199999999996;75.9375;0.210821;935;1;"false";5260
189;3.0;0;7;0;5;1;2;28.3667;0.6704829999999999;113.68755;0.225129;1015;0;"false";4040
641;4.0;1;10;0;2;1;3;23.6333;0.542333;130.75005;0.104475;499;0;"false";4639
255;3.0;0;9;0;1;1;1;25.7739;0.60213;103.8261;0.088913;532;0;"false";4713
473;2.0;1;4;0;2;1;1;24.3333;0.598487;58.56255;0.273629;633;0;"false";6691
509;2.0;1;5;0;3;1;2;24.8667;0.584612;116.18745;0.102;873;0;"false";5260
67;1.0;0;3;0;2;1;1;11.7;0.3024;63.12495;0.12065;924;0;"false";2133
240;3.0;0;8;0;0;0;1;28.2824;0.6479590000000001;84.26475;0.304659;615;0;"false";4334
71;1.0;0;3;0;6;0;1;13.1667;0.32575;89.18745;0.220775;580;0;"false";2132
485;2.0;1;4;0;0;0;1;18.3333;0.450121;88.06245;0.116908;869;0;"false";6304
652;4.0;1;10;0;6;0;1;15.7333;0.391396;74.18745;0.146142;632;0;"false";7109
721;1.0;1;12;0;5;1;2;13.0667;0.301767;83.50005;0.37438299999999997;881;0;"false";3623
242;3.0;0;8;0;2;1;1;25.5667;0.594704;82.24995;0.12500799999999998;576;1;"false";5204
