"instant";"season";"yr";"mnth";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"cnt"
154;2.0;0;6;0;5;1;1;24.8;0.587133;53.12505;0.253121;5312
685;4.0;1;11;0;4;1;2;12.8667;0.324492;93.06255;0.15298699999999998;5445
368;1.0;1;1;0;2;1;1;6.0;0.126275;66.1875;0.365671;2236
472;2.0;1;4;1;1;0;1;26.5667;0.614925;84.25005;0.284829;6370
442;1.0;1;3;0;-1;0;2;20.5667;0.505046;113.37495;0.110704;7836
257;3.0;0;9;0;3;1;1;26.9333;0.6269;104.56245;0.1673;4785
413;1.0;1;2;0;5;1;1;13.7333;0.35162899999999997;93.8451999116608;0.205846;4154
643;4.0;1;10;0;4;1;2;26.3;0.607975;108.43755;0.117546;7328
274;2.436802973977695;0;10;0;6;0;2;16.4;0.41286300000000004;113.0625;0.292296;2429
129;2.0;0;5;0;1;1;1;21.3;0.525246;88.3125;0.17600000000000002;4362
175;3.0;0;6;0;5;1;1;28.9667;0.656583;85.99995;0.222025;4991
213;3.0;0;8;0;1;1;1;30.8667;0.703292;93.8451999116608;0.156717;4266
533;2.0;1;6;0;6;0;1;25.2667;0.594708;75.62505;0.166667;7702
590;3.0;1;8;0;0;0;1;28.0333;0.644579;79.56255;0.122512;6544
221;3.0;0;8;0;2;1;1;31.0;0.724121;85.56255;0.151121;4602
269;2.436802973977695;0;9;0;1;1;2;25.9667;0.589042;127.24995;0.1107;4630
417;1.0;1;2;0;2;1;1;11.513;0.295113;89.1522;0.205717;3777
30;1.0;0;1;0;0;0;1;8.6609;0.250322;108.3261;0.0739826;1096
565;3.0;1;7;0;3;1;1;31.7333;0.745583;86.56245;0.137442;5713
594;3.0;1;8;0;4;1;1;28.7667;0.654688;77.87505;0.141796;7605
135;2.0;0;5;0;0;0;2;22.5;0.536;130.06245;0.152979;4553
425;1.0;1;2;0;3;1;2;13.7739;0.34847;120.71745;0.179117;1834
227;3.0;0;8;0;1;1;1;26.6333;0.616167;106.81245;0.208954;4338
502;2.0;1;5;0;3;1;1;25.4667;0.595975;104.68755;0.122512;7424
524;2.0;1;6;0;4;1;1;24.1;0.569442;93.8451999116608;0.15735;7494
188;3.0;0;7;0;4;1;1;30.0;0.686871;93.8451999116608;0.1592;4592
9;1.0;0;1;0;0;0;1;5.5333;0.116175;65.12505;0.36195;822
378;1.0;1;1;0;5;1;1;10.9667;0.249362;76.125;0.378108;3214
722;1.0;1;12;0;6;0;1;10.6333;0.23611300000000002;66.1875;0.407346;1749
4;1.0;0;1;0;2;1;1;8.0;0.21212199999999998;88.56525;0.160296;1562
557;2.436802973977695;1;7;0;2;1;2;28.8333;0.664796;100.125;0.15173699999999998;6290
144;2.0;0;5;0;2;1;2;26.4;0.604813;111.12495;0.207092;4492
481;2.0;1;4;0;3;1;1;19.0667;0.470317;64.18755;0.11879200000000001;6196
578;3.0;1;7;0;2;1;1;28.5333;0.662896;105.62505;0.165425;7216
