"instant";"season";"yr";"temp";"atemp";"outlier";"cnt"
154;2.0;0;24.8;0.587133;"false";5312
685;4.0;1;12.8667;0.324492;"false";5445
368;1.0;1;6.0;0.126275;"false";2236
472;2.0;1;26.5667;0.614925;"false";6370
257;3.0;0;26.9333;0.6269;"false";4785
413;1.0;1;13.7333;0.35162899999999997;"false";4154
643;4.0;1;26.3;0.607975;"false";7328
129;2.0;0;21.3;0.525246;"false";4362
175;3.0;0;28.9667;0.656583;"false";4991
213;3.0;0;30.8667;0.703292;"false";4266
590;3.0;1;28.0333;0.644579;"false";6544
221;3.0;0;31.0;0.724121;"false";4602
417;1.0;1;11.513;0.295113;"false";3777
565;3.0;1;31.7333;0.745583;"false";5713
135;2.0;0;22.5;0.536;"false";4553
425;1.0;1;13.7739;0.34847;"false";1834
227;3.0;0;26.6333;0.616167;"false";4338
502;2.0;1;25.4667;0.595975;"false";7424
524;2.0;1;24.1;0.569442;"false";7494
188;3.0;0;30.0;0.686871;"false";4592
378;1.0;1;10.9667;0.249362;"false";3214
144;2.0;0;26.4;0.604813;"false";4492
481;2.0;1;19.0667;0.470317;"false";6196
578;3.0;1;28.5333;0.662896;"false";7216
564;3.0;1;32.7333;0.755683;"false";6786
699;4.0;1;11.2348;0.29842199999999997;"false";5323
637;4.0;1;24.7667;0.585863;"false";7415
548;3.0;1;32.6333;0.750629;"false";5531
261;3.0;0;20.3;0.490537;"false";4274
626;3.0;1;23.2333;0.55305;"false";6869
681;4.0;1;16.8333;0.421713;"false";6852
397;1.0;1;18.7667;0.466538;"false";4579
354;4.0;0;15.4333;0.396454;"false";3750
304;4.0;0;13.6;0.356063;"false";3669
597;3.0;1;25.4333;0.603554;"false";4549
119;2.0;0;20.4;0.497463;"false";4595
132;2.0;0;21.4;0.523363;"false";4864
441;1.0;1;17.4333;0.436229;"false";4378
163;2.0;0;27.7;0.643325;"false";4460
367;1.0;1;10.9217;0.252304;"false";1951
529;2.0;1;26.1333;0.597875;"false";4972
321;4.0;0;13.6667;0.323221;"false";3053
702;4.0;1;13.9;0.35920799999999997;"false";4649
303;4.0;0;12.7667;0.321329;"false";3331
514;2.0;1;28.5;0.6793;"false";6043
501;2.0;1;24.4667;0.576404;"false";5115
401;1.0;1;10.6333;0.264521;"false";2947
277;4.0;0;19.3667;0.472858;"false";4456
682;4.0;1;19.4;0.475383;"false";6269
206;3.0;0;29.7333;0.720958;"false";3840
190;3.0;0;29.3333;0.664158;"false";5336
202;3.0;0;32.6;0.826371;"false";3784
100;2.0;0;17.0667;0.426737;"false";2895
312;4.0;0;16.3333;0.412246;"false";4205
554;3.0;1;34.4667;0.804913;"false";4840
661;4.0;1;19.5;0.482942;"false";7058
162;2.0;0;29.0;0.678038;"false";4966
316;4.0;0;14.2667;0.357942;"false";4067
353;4.0;0;11.0667;0.280933;"false";3403
654;4.0;1;22.4667;0.53915;"false";5875
599;3.0;1;25.9667;0.601025;"false";7006
447;2.0;1;22.1667;0.531567;"false";6871
512;2.0;1;27.7;0.642696;"false";6536
420;1.0;1;16.3;0.41097100000000003;"false";3487
248;3.0;0;26.9333;0.625646;"false";3351
648;4.0;1;17.8667;0.438112;"false";6392
313;4.0;0;16.0;0.40907899999999997;"false";4109
88;2.0;0;12.1;0.292908;"false";2425
83;2.0;0;11.4;0.270833;"false";1865
305;4.0;0;16.0333;0.397088;"false";4068
465;2.0;1;19.5667;0.476638;"false";5585
488;2.0;1;22.5667;0.537896;"false";6169
712;4.0;1;11.9;0.297338;"false";5319
541;3.0;1;29.7333;0.674254;"false";6891
510;2.5121951219512195;1;26.2;0.6067;"false";6770
157;2.0;0;27.1333;0.621858;"false";4548
373;1.0;1;13.5;0.340258;"false";3425
161;2.0;0;30.2;0.703292;"false";4586
314;4.0;0;15.2;0.373721;"false";2933
179;3.0;0;29.7667;0.692558;"false";4648
716;2.5121951219512195;1;14.5;0.369938;"false";3786
398;1.0;1;15.9667;0.398971;"false";3761
229;3.0;0;28.9333;0.666671;"false";4694
439;1.0;1;22.9;0.548617;"false";6312
103;2.0;0;16.5;0.417283;"false";2162
545;3.0;1;29.9667;0.675512;"false";6879
315;4.0;0;12.9667;0.306817;"false";3368
540;3.0;1;29.2667;0.652792;"false";7458
490;2.0;1;25.1;0.590917;"false";6296
588;3.0;1;28.6333;0.667942;"false";5786
656;4.0;1;18.2333;0.450108;"false";7461
92;2.0;0;12.6;0.315637;"false";2252
496;2.0;1;20.2333;0.49178299999999997;"false";6572
362;1.0;0;11.9652;0.279974;"false";2302
254;3.0;0;26.1333;0.609229;"false";5046
421;1.0;1;11.6333;0.255675;"false";2732
296;4.0;0;16.8667;0.422333;"false";4381
639;4.0;1;21.0667;0.517663;"false";6889
146;2.0;0;28.3333;0.654688;"false";4677
197;3.0;0;27.4667;0.638263;"false";5923
252;3.0;0;26.0;0.578946;"false";3544
241;3.0;0;25.4667;0.607958;"false";4634
357;1.0;0;14.9333;0.377513;"false";2209
185;3.0;0;29.0667;0.665417;"false";6043
471;2.0;1;24.2667;0.573875;"false";7132
698;4.0;1;11.8667;0.28976199999999996;"false";5260
189;3.0;0;28.3667;0.6704829999999999;"false";4040
641;4.0;1;23.6333;0.542333;"false";4639
255;3.0;0;25.7739;0.60213;"false";4713
473;2.0;1;24.3333;0.598487;"false";6691
509;2.0;1;24.8667;0.584612;"false";5260
67;1.0;0;11.7;0.3024;"false";2133
240;3.0;0;28.2824;0.6479590000000001;"false";4334
71;1.0;0;13.1667;0.32575;"false";2132
485;2.0;1;18.3333;0.450121;"false";6304
652;4.0;1;15.7333;0.391396;"false";7109
721;1.0;1;13.0667;0.301767;"false";3623
242;3.0;0;25.5667;0.594704;"false";5204
234;3.0;0;27.6667;0.638254;"false";4758
66;1.0;0;10.4696;0.238461;"false";1872
102;2.0;0;20.1;0.493054;"false";2034
399;2.5121951219512195;1;12.5333;0.309346;"false";4151
