"instant";"season";"temp";"atemp";"cnt"
154;2.0;24.8;0.587133;5312
685;4.0;12.8667;0.324492;5445
368;1.0;6.0;0.126275;2236
472;2.0;26.5667;0.614925;6370
442;1.0;20.5667;0.505046;7836
257;3.0;26.9333;0.6269;4785
413;1.0;13.7333;0.35162899999999997;4154
643;4.0;26.3;0.607975;7328
274;2.436802973977695;16.4;0.41286300000000004;2429
129;2.0;21.3;0.525246;4362
175;3.0;28.9667;0.656583;4991
213;3.0;30.8667;0.703292;4266
533;2.0;25.2667;0.594708;7702
590;3.0;28.0333;0.644579;6544
221;3.0;31.0;0.724121;4602
269;2.436802973977695;25.9667;0.589042;4630
417;1.0;11.513;0.295113;3777
30;1.0;8.6609;0.250322;1096
565;3.0;31.7333;0.745583;5713
594;3.0;28.7667;0.654688;7605
135;2.0;22.5;0.536;4553
425;1.0;13.7739;0.34847;1834
227;3.0;26.6333;0.616167;4338
502;2.0;25.4667;0.595975;7424
524;2.0;24.1;0.569442;7494
188;3.0;30.0;0.686871;4592
9;1.0;5.5333;0.116175;822
378;1.0;10.9667;0.249362;3214
722;1.0;10.6333;0.23611300000000002;1749
4;1.0;8.0;0.21212199999999998;1562
557;2.436802973977695;28.8333;0.664796;6290
144;2.0;26.4;0.604813;4492
481;2.0;19.0667;0.470317;6196
578;3.0;28.5333;0.662896;7216
564;3.0;32.7333;0.755683;6786
683;2.436802973977695;13.7333;0.323225;4094
699;4.0;11.2348;0.29842199999999997;5323
637;4.0;24.7667;0.585863;7415
548;3.0;32.6333;0.750629;5531
261;3.0;20.3;0.490537;4274
626;3.0;23.2333;0.55305;6869
681;4.0;16.8333;0.421713;6852
397;1.0;18.7667;0.466538;4579
8;1.0;6.6;0.162254;959
354;4.0;15.4333;0.396454;3750
304;4.0;13.6;0.356063;3669
597;3.0;25.4333;0.603554;4549
464;2.436802973977695;20.0;0.492425;5169
119;2.0;20.4;0.497463;4595
132;2.0;21.4;0.523363;4864
562;2.436802973977695;29.8333;0.705196;6031
441;1.0;17.4333;0.436229;4378
608;3.0;28.2667;0.652779;7713
163;2.0;27.7;0.643325;4460
44;1.0;12.6609;0.324113;1589
367;1.0;10.9217;0.252304;1951
529;2.0;26.1333;0.597875;4972
669;4.0;12.7273;0.309909;1096
321;4.0;13.6667;0.323221;3053
232;2.436802973977695;27.9;0.648996;5191
702;4.0;13.9;0.35920799999999997;4649
303;4.0;12.7667;0.321329;3331
514;2.0;28.5;0.6793;6043
501;2.0;24.4667;0.576404;5115
401;1.0;10.6333;0.264521;2947
341;4.0;16.4;0.400246;705
277;4.0;19.3667;0.472858;4456
408;1.0;5.1;0.101658;1529
682;4.0;19.4;0.475383;6269
206;3.0;29.7333;0.720958;3840
190;3.0;29.3333;0.664158;5336
202;3.0;32.6;0.826371;3784
620;2.436802973977695;23.1;0.554292;7767
100;2.0;17.0667;0.426737;2895
312;4.0;16.3333;0.412246;4205
554;3.0;34.4667;0.804913;4840
208;2.436802973977695;31.0;0.690667;4656
661;4.0;19.5;0.482942;7058
162;2.0;29.0;0.678038;4966
316;4.0;14.2667;0.357942;4067
353;4.0;11.0667;0.280933;3403
726;1.0;9.7333;0.220333;441
654;4.0;22.4667;0.53915;5875
599;3.0;25.9667;0.601025;7006
680;2.436802973977695;15.5667;0.393937;6536
447;2.0;22.1667;0.531567;6871
339;2.436802973977695;15.4333;0.393925;3811
512;2.0;27.7;0.642696;6536
420;1.0;16.3;0.41097100000000003;3487
248;3.0;26.9333;0.625646;3351
1;2.436802973977695;13.7667;0.363625;985
648;4.0;17.8667;0.438112;6392
313;4.0;16.0;0.40907899999999997;4109
88;2.0;12.1;0.292908;2425
83;2.0;11.4;0.270833;1865
305;4.0;16.0333;0.397088;4068
465;2.0;19.5667;0.476638;5585
488;2.0;22.5667;0.537896;6169
