"instant";"yr";"temp";"atemp";"season";"cnt"
154;0;24.8;0.587133;2.0;5312
685;1;12.8667;0.324492;4.0;5445
368;1;6.0;0.126275;1.0;2236
472;1;26.5667;0.614925;2.0;6370
442;1;20.5667;0.505046;1.0;7836
257;0;26.9333;0.6269;3.0;4785
413;1;13.7333;0.35162899999999997;1.0;4154
643;1;26.3;0.607975;4.0;7328
274;0;16.4;0.41286300000000004;4.0;2429
129;0;21.3;0.525246;2.0;4362
175;0;28.9667;0.656583;2.0;4991
213;0;30.8667;0.703292;3.0;4266
533;1;25.2667;0.594708;2.0;7702
590;1;28.0333;0.644579;3.0;6544
221;0;31.0;0.724121;3.0;4602
269;0;25.9667;0.589042;3.0;4630
417;1;11.513;0.295113;1.0;3777
30;0;8.6609;0.250322;1.0;1096
565;1;31.7333;0.745583;3.0;5713
594;1;28.7667;0.654688;3.0;7605
135;0;22.5;0.536;2.0;4553
425;1;13.7739;0.34847;1.0;1834
227;0;26.6333;0.616167;3.0;4338
502;1;25.4667;0.595975;2.0;7424
524;1;24.1;0.569442;2.0;7494
188;0;30.0;0.686871;3.0;4592
9;0;5.5333;0.116175;1.0;822
378;1;10.9667;0.249362;1.0;3214
722;1;10.6333;0.23611300000000002;4.0;1749
4;0;8.0;0.21212199999999998;1.0;1562
557;1;28.8333;0.664796;3.0;6290
144;0;26.4;0.604813;2.0;4492
481;1;19.0667;0.470317;2.0;6196
578;1;28.5333;0.662896;3.0;7216
564;1;32.7333;0.755683;3.0;6786
683;1;13.7333;0.323225;4.0;4094
699;1;11.2348;0.29842199999999997;4.0;5323
637;1;24.7667;0.585863;3.0;7415
548;1;32.6333;0.750629;3.0;5531
261;0;20.3;0.490537;3.0;4274
626;1;23.2333;0.55305;3.0;6869
681;1;16.8333;0.421713;4.0;6852
397;1;18.7667;0.466538;1.0;4579
8;0;6.6;0.162254;1.0;959
354;0;15.4333;0.396454;4.0;3750
304;0;13.6;0.356063;4.0;3669
597;1;25.4333;0.603554;3.0;4549
464;1;20.0;0.492425;2.0;5169
119;0;20.4;0.497463;2.0;4595
132;0;21.4;0.523363;2.0;4864
562;1;29.8333;0.705196;3.0;6031
441;1;17.4333;0.436229;1.0;4378
608;1;28.2667;0.652779;3.0;7713
163;0;27.7;0.643325;2.0;4460
44;0;12.6609;0.324113;1.0;1589
367;1;10.9217;0.252304;1.0;1951
